Date : 2024-03-12 20:52:40
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 165 files,  19716 codes, 1098 comments, 1296 blanks, all 22110 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| lib/services                                                                                                              |          6 |        448 |        126 |        113 |        687 |
| linux                                                                                                                     |          5 |        106 |         27 |         38 |        171 |
| linux (Files)                                                                                                             |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                             |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                                     |          8 |        491 |          5 |         17 |        513 |
| macos (Files)                                                                                                             |          1 |          7 |          0 |          0 |          7 |
| macos/Flutter                                                                                                             |          1 |         40 |          3 |          4 |         47 |
| macos/Runner                                                                                                              |          5 |        437 |          0 |          9 |        446 |
| macos/Runner (Files)                                                                                                      |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                              |          2 |         74 |          0 |          2 |         76 |
| macos/Runner/Assets.xcassets (Files)                                                                                      |          1 |          6 |          0 |          1 |          7 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                           |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                   |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                         |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                      |          7 |        439 |         73 |         52 |        564 |
| web                                                                                                                       |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                   |         10 |        454 |         94 |        143 |        691 |
| windows/flutter                                                                                                           |          2 |         26 |          9 |         11 |         46 |
| windows/runner                                                                                                            |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/richardtozer/dev/projects/daufootytipping/.fvm/fvm_config.json                                                     | JSON               |          4 |          0 |          0 |          4 |
| /Users/richardtozer/dev/projects/daufootytipping/BACKUP-database.rules.json                                               | JSON               |          6 |          1 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/README.md                                                                | Markdown           |         31 |          0 |         21 |         52 |
| /Users/richardtozer/dev/projects/daufootytipping/analysis_options.yaml                                                    | YAML               |          3 |         22 |          4 |         29 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/build.gradle                                                 | Gradle             |         65 |          4 |         13 |         82 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/google-services.json                                         | JSON               |         55 |          0 |          0 |         55 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/debug/AndroidManifest.xml                                | XML                |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/AndroidManifest.xml                                 | XML                |         34 |          8 |          4 |         46 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable-v21/launch_background.xml              | XML                |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable/launch_background.xml                  | XML                |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml               | XML                |          6 |          0 |          0 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values-night/styles.xml                         | XML                |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values/styles.xml                               | XML                |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/profile/AndroidManifest.xml                              | XML                |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/build.gradle                                                     | Gradle             |         16 |          0 |          3 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle.properties                                                | Properties         |          3 |          0 |          1 |          4 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle/wrapper/gradle-wrapper.properties                         | Properties         |          5 |          0 |          1 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/android/settings.gradle                                                  | Gradle             |         23 |          0 |          6 |         29 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl.svg                                                     | XML                |         37 |          1 |          1 |         39 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/blues.svg                                               | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/bombers.svg                                             | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/bulldogs.svg                                            | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/cats.svg                                                | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/crows.svg                                               | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/demons.svg                                              | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/dockers.svg                                             | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/eagles.svg                                              | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/giants.svg                                              | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/hawks.svg                                               | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/kagaroos.svg                                            | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/lions.svg                                               | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/magpies.svg                                             | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/power.svg                                               | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/saints.svg                                              | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/suns.svg                                                | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/swans.svg                                               | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/tigers.svg                                              | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Auckland_colours.svg                                    | XML                |         70 |          1 |          1 |         72 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Brisbane_colours.svg                                    | XML                |         66 |          1 |          1 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canberra_colours.svg                                    | XML                |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canterbury_colours.svg                                  | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Cronulla_colours.svg                                    | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Dolphins_colours.svg                                    | XML                |         72 |          1 |          2 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Eastern_Suburbs_colours.svg                             | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Gold_Coast_Titans_colours.svg                           | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Manly_Sea_Eagles_colours.svg                            | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Melbourne_colours.svg                                   | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Newcastle_colours.svg                                   | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/North_Queensland_colours.svg                            | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Parramatta_colours.svg                                  | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Penrith_Panthers_square_flag_icon_with_2020_colours.svg | XML                |         16 |          1 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/South_Sydney_colours.svg                                | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/St._George_colours.svg                                  | XML                |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Wests_Tigers_colours.svg                                | XML                |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/cleanup.sh                                                               | Shell Script       |         26 |          4 |          4 |         34 |
| /Users/richardtozer/dev/projects/daufootytipping/database.rules.json                                                      | JSON               |          8 |          0 |          0 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/devtools_options.yaml                                                    | YAML               |          2 |          0 |          0 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/firebase.json                                                            | JSON               |         47 |          0 |          1 |         48 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/.eslintrc.js                                                   | JavaScript         |         32 |          0 |          1 |         33 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/package-lock.json                                              | JSON               |      8,321 |          0 |          1 |      8,322 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/package.json                                                   | JSON               |         34 |          0 |          1 |         35 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/src/index.ts                                                   | TypeScript         |          2 |          4 |          2 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/src/services/legacy_service.ts                                 | TypeScript         |        108 |         16 |         15 |        139 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/src/services/messaging_service_prune_devicetokens.ts           | TypeScript         |          0 |         47 |          1 |         48 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.dev.json                                              | JSON               |          5 |          0 |          1 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.json                                                  | JSON with Comments |         15 |          0 |          1 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift                                             | Swift              |         19 |          2 |          3 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json              | JSON               |         14 |          0 |          1 |         15 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/Contents.json                                 | JSON               |          6 |          0 |          1 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json            | JSON               |         23 |          0 |          1 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                | Markdown           |          3 |          0 |          2 |          5 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/LaunchScreen.storyboard                            | XML                |         36 |          1 |          1 |         38 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/Main.storyboard                                    | XML                |         28 |          1 |          1 |         30 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Runner-Bridging-Header.h                                      | C++                |          1 |          0 |          1 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/RunnerTests/RunnerTests.swift                                        | Swift              |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/ci_scripts/ci_post_clone.sh                                          | Shell Script       |         12 |         12 |         12 |         36 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/firebase_app_id_file.json                                            | JSON               |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/extensions/disposesafechangenotifier.dart                            | Dart               |         15 |          1 |          4 |         20 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/firebase_options.dart                                                | Dart               |         72 |         12 |          6 |         90 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/main.dart                                                            | Dart               |         82 |         12 |         20 |        114 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/crowdsourcedscore.dart                                        | Dart               |         28 |          3 |          6 |         37 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/daucomp.dart                                                  | Dart               |         66 |          4 |          8 |         78 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/dauround.dart                                                 | Dart               |         30 |          3 |          6 |         39 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/devicetoken.dart                                              | Dart               |         14 |          1 |          4 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game.dart                                                     | Dart               |         98 |          5 |          9 |        112 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game_scoring.dart                                             | Dart               |        283 |         11 |         18 |        312 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/league.dart                                                   | Dart               |         21 |          0 |          3 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/location_latlong.dart                                         | Dart               |         12 |          0 |          4 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_leaderboard.dart                                      | Dart               |         43 |          2 |          5 |         50 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundscores.dart                                      | Dart               |         58 |          2 |          6 |         66 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundwinners.dart                                     | Dart               |         24 |          1 |          3 |         28 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/team.dart                                                     | Dart               |         53 |          2 |          7 |         62 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipgame.dart                                                  | Dart               |         59 |          6 |         10 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipper.dart                                                   | Dart               |         67 |         24 |         12 |        103 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipperrole.dart                                               | Dart               |          1 |          1 |          1 |          3 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit.dart                        | Dart               |        421 |         30 |         26 |        477 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_list.dart                        | Dart               |         90 |          2 |          5 |         97 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_viewmodel.dart                   | Dart               |        641 |        112 |        152 |        905 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_list.dart                           | Dart               |          0 |         24 |          0 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_viewmodel.dart                      | Dart               |        189 |         21 |         31 |        241 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_scoring_viewmodel.dart                    | Dart               |        314 |         24 |         59 |        397 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_edit.dart                              | Dart               |        189 |         12 |         14 |        215 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_list.dart                              | Dart               |         67 |          3 |          5 |         75 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_viewmodel.dart                         | Dart               |        103 |          0 |         30 |        133 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_edit_add.dart                      | Dart               |        364 |         21 |         16 |        401 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_list.dart                          | Dart               |        130 |          1 |          9 |        140 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_viewmodel.dart                     | Dart               |        269 |         47 |         65 |        381 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/user_auth.dart                                       | Dart               |        177 |         11 |         21 |        209 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/alltips_viewmodel.dart                               | Dart               |        163 |         15 |         27 |        205 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/gametips_viewmodel.dart                              | Dart               |         95 |         21 |         30 |        146 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home.dart                                       | Dart               |        113 |          1 |         14 |        128 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile.dart                               | Dart               |        121 |          3 |          4 |        128 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile_settings_about.dart                | Dart               |         25 |          0 |          5 |         30 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile_settings_adminfunctions.dart       | Dart               |         64 |          0 |          4 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats.dart                                 | Dart               |         85 |         19 |          5 |        109 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats_leaderboard.dart                     | Dart               |        366 |          6 |         11 |        383 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats_roundwinners.dart                    | Dart               |        209 |          2 |         11 |        222 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips.dart                                  | Dart               |        318 |         19 |         26 |        363 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gameinfo.dart                         | Dart               |         42 |          0 |          4 |         46 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gamelistitem.dart                     | Dart               |        193 |          7 |         14 |        214 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_livescoring.dart                      | Dart               |        218 |          5 |         13 |        236 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_tipchoice.dart                        | Dart               |        152 |          5 |          6 |        163 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/firebase_messaging_service.dart                             | Dart               |         40 |          6 |         11 |         57 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/firebase_remoteconfig_service.dart                          | Dart               |         40 |          3 |         10 |         53 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_download_service.dart                               | Dart               |         46 |         47 |          8 |        101 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/google_geocoding_api.dart                                   | Dart               |         33 |          0 |          8 |         41 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/google_sheet_service.dart.dart                              | Dart               |        281 |         70 |         73 |        424 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/package_info_service.dart                                   | Dart               |          8 |          0 |          3 |         11 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/theme_data.dart                                                      | Dart               |         17 |          1 |          4 |         22 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.cc                             | C++                |         15 |          4 |          5 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.h                              | C++                |          5 |          5 |          6 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/main.cc                                                            | C++                |          5 |          0 |          2 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.cc                                                  | C++                |         74 |         11 |         20 |        105 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.h                                                   | C++                |          7 |          7 |          5 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Flutter/GeneratedPluginRegistrant.swift                            | Swift              |         40 |          3 |          4 |         47 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/AppDelegate.swift                                           | Swift              |          8 |          0 |          2 |         10 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json            | JSON               |         68 |          0 |          1 |         69 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Assets.xcassets/Contents.json                               | JSON               |          6 |          0 |          1 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Base.lproj/MainMenu.xib                                     | XML                |        343 |          0 |          1 |        344 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/MainFlutterWindow.swift                                     | Swift              |         12 |          0 |          4 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/RunnerTests/RunnerTests.swift                                      | Swift              |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/firebase_app_id_file.json                                          | JSON               |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/package-lock.json                                                        | JSON               |         34 |          0 |          1 |         35 |
| /Users/richardtozer/dev/projects/daufootytipping/package.json                                                             | JSON               |          5 |          0 |          1 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/pubspec.yaml                                                             | YAML               |         82 |         55 |          9 |        146 |
| /Users/richardtozer/dev/projects/daufootytipping/test/admin_daucomps_viewmodel_test.dart                                  | Dart               |          9 |          2 |          3 |         14 |
| /Users/richardtozer/dev/projects/daufootytipping/test/admin_games_viewmodel_test.dart                                     | Dart               |          0 |         46 |          0 |         46 |
| /Users/richardtozer/dev/projects/daufootytipping/test/admin_games_viewmodel_test.mocks.dart                               | Dart               |        207 |         22 |         20 |        249 |
| /Users/richardtozer/dev/projects/daufootytipping/test/firebase_database_mock.dart                                         | Dart               |          8 |          3 |          5 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/test/game_gamestate_test.dart                                            | Dart               |         92 |          0 |          5 |         97 |
| /Users/richardtozer/dev/projects/daufootytipping/test/game_scoring_test.dart                                              | Dart               |        113 |          0 |         17 |        130 |
| /Users/richardtozer/dev/projects/daufootytipping/test/tipperrole_test.dart                                                | Dart               |         10 |          0 |          2 |         12 |
